x,y,z,qx,qy,qz,qw
678.168662,-132.414383,348.35928,0.116694,0.993168,0.0,-0.0
677.957863,-132.414475,348.378278,0.116695,0.993168,-0.0,0.0
677.957863,-132.414475,348.378278,0.116695,0.993168,-0.0,0.0
677.746576,-132.414522,348.397008,0.116694,0.993168,-0.0,-0.0
677.746576,-132.414522,348.397008,0.116694,0.993168,-0.0,-0.0
677.416523,-132.414028,348.426848,0.116695,0.993168,-0.0,0.0
677.416523,-132.414028,348.426848,0.116695,0.993168,-0.0,0.0
677.085386,-132.413426,348.456009,0.116694,0.993168,-0.0,-0.0
677.085386,-132.413426,348.456009,0.116694,0.993168,-0.0,-0.0
676.653728,-132.41558,348.47525,0.116695,0.993168,-0.0,0.0
676.653728,-132.41558,348.47525,0.116695,0.993168,-0.0,0.0
676.220207,-132.41755,348.49334,0.116694,0.993168,-0.0,-0.0
676.220207,-132.41755,348.49334,0.116694,0.993168,-0.0,-0.0
675.706025,-132.419211,348.532267,0.116695,0.993168,-1e-06,1e-06
675.706025,-132.419211,348.532267,0.116695,0.993168,-1e-06,1e-06
675.189204,-132.420604,348.569635,0.116694,0.993168,-0.0,0.0
675.189204,-132.420604,348.569635,0.116694,0.993168,-0.0,0.0
674.612851,-132.420742,348.657224,0.116695,0.993168,-1e-06,1e-06
674.612851,-132.420742,348.657224,0.116695,0.993168,-1e-06,1e-06
674.033934,-132.420536,348.742804,0.116694,0.993168,-0.0,0.0
674.033934,-132.420536,348.742804,0.116694,0.993168,-0.0,0.0
673.405491,-132.426342,348.791614,0.116695,0.993168,-1e-06,1e-06
673.405491,-132.426342,348.791614,0.116695,0.993168,-1e-06,1e-06
672.773357,-132.431741,348.838048,0.116694,0.993168,-0.0,0.0
672.773357,-132.431741,348.838048,0.116694,0.993168,-0.0,0.0
672.106505,-132.439504,348.86388,0.116695,0.993168,-1e-06,1e-06
672.106505,-132.439504,348.86388,0.116695,0.993168,-1e-06,1e-06
671.435783,-132.446808,348.887052,0.116694,0.993168,-0.0,0.0
671.435783,-132.446808,348.887052,0.116694,0.993168,-0.0,0.0
670.741385,-132.454037,348.943349,0.116694,0.993168,-1e-06,-0.0
670.741385,-132.454037,348.943349,0.116694,0.993168,-1e-06,-0.0
670.042966,-132.460763,348.996785,0.116692,0.993168,0.0,-3e-06
670.042966,-132.460763,348.996785,0.116692,0.993168,0.0,-3e-06
669.330276,-132.473059,349.007396,0.116693,0.993168,-1e-06,-1e-06
669.330276,-132.473059,349.007396,0.116693,0.993168,-1e-06,-1e-06
668.613322,-132.484826,349.014977,0.116693,0.993168,0.0,-2e-06
668.613322,-132.484826,349.014977,0.116693,0.993168,0.0,-2e-06
667.887879,-132.499543,349.024985,0.116694,0.993168,-1e-06,-0.0
667.887879,-132.499543,349.024985,0.116694,0.993168,-1e-06,-0.0
667.15807,-132.513704,349.031956,0.116693,0.993168,0.0,-1e-06
667.15807,-132.513704,349.031956,0.116693,0.993168,0.0,-1e-06
666.427818,-132.528953,349.104518,0.116694,0.993168,-1e-06,-0.0
666.427818,-132.528953,349.104518,0.116694,0.993168,-1e-06,-0.0
665.693385,-132.543624,349.17399,0.116694,0.993168,0.0,-1e-06
