x,y,z,qx,qy,qz,qw
678.168662,-132.414383,348.359280,0.116694,0.993168,0.000000,-0.000000
677.957863,-132.414475,348.378278,0.116695,0.993168,-0.000000,0.000000
677.957863,-132.414475,348.378278,0.116695,0.993168,-0.000000,0.000000
677.746576,-132.414522,348.397008,0.116694,0.993168,-0.000000,-0.000000
677.746576,-132.414522,348.397008,0.116694,0.993168,-0.000000,-0.000000
677.416523,-132.414028,348.426848,0.116695,0.993168,-0.000000,0.000000
677.416523,-132.414028,348.426848,0.116695,0.993168,-0.000000,0.000000
677.085386,-132.413426,348.456009,0.116694,0.993168,-0.000000,-0.000000
677.085386,-132.413426,348.456009,0.116694,0.993168,-0.000000,-0.000000
676.653728,-132.415580,348.475250,0.116695,0.993168,-0.000000,0.000000
676.653728,-132.415580,348.475250,0.116695,0.993168,-0.000000,0.000000
676.220207,-132.417550,348.493340,0.116694,0.993168,-0.000000,-0.000000
676.220207,-132.417550,348.493340,0.116694,0.993168,-0.000000,-0.000000
675.706025,-132.419211,348.532267,0.116695,0.993168,-0.000001,0.000001
675.706025,-132.419211,348.532267,0.116695,0.993168,-0.000001,0.000001
675.189204,-132.420604,348.569635,0.116694,0.993168,-0.000000,0.000000
675.189204,-132.420604,348.569635,0.116694,0.993168,-0.000000,0.000000
674.612851,-132.420742,348.657224,0.116695,0.993168,-0.000001,0.000001
674.612851,-132.420742,348.657224,0.116695,0.993168,-0.000001,0.000001
674.033934,-132.420536,348.742804,0.116694,0.993168,-0.000000,0.000000
674.033934,-132.420536,348.742804,0.116694,0.993168,-0.000000,0.000000
673.405491,-132.426342,348.791614,0.116695,0.993168,-0.000001,0.000001
673.405491,-132.426342,348.791614,0.116695,0.993168,-0.000001,0.000001
672.773357,-132.431741,348.838048,0.116694,0.993168,-0.000000,0.000000
672.773357,-132.431741,348.838048,0.116694,0.993168,-0.000000,0.000000
672.106505,-132.439504,348.863880,0.116695,0.993168,-0.000001,0.000001
672.106505,-132.439504,348.863880,0.116695,0.993168,-0.000001,0.000001
671.435783,-132.446808,348.887052,0.116694,0.993168,-0.000000,0.000000
671.435783,-132.446808,348.887052,0.116694,0.993168,-0.000000,0.000000
670.741385,-132.454037,348.943349,0.116694,0.993168,-0.000001,-0.000000
670.741385,-132.454037,348.943349,0.116694,0.993168,-0.000001,-0.000000
670.042966,-132.460763,348.996785,0.116692,0.993168,0.000000,-0.000003
670.042966,-132.460763,348.996785,0.116692,0.993168,0.000000,-0.000003
669.330276,-132.473059,349.007396,0.116693,0.993168,-0.000001,-0.000001
669.330276,-132.473059,349.007396,0.116693,0.993168,-0.000001,-0.000001
668.613322,-132.484826,349.014977,0.116693,0.993168,0.000000,-0.000002
668.613322,-132.484826,349.014977,0.116693,0.993168,0.000000,-0.000002
667.887879,-132.499543,349.024985,0.116694,0.993168,-0.000001,-0.000000
667.887879,-132.499543,349.024985,0.116694,0.993168,-0.000001,-0.000000
667.158070,-132.513704,349.031956,0.116693,0.993168,0.000000,-0.000001
667.158070,-132.513704,349.031956,0.116693,0.993168,0.000000,-0.000001
666.427818,-132.528953,349.104518,0.116694,0.993168,-0.000001,-0.000000
666.427818,-132.528953,349.104518,0.116694,0.993168,-0.000001,-0.000000
665.693385,-132.543624,349.173990,0.116694,0.993168,0.000000,-0.000001
665.693385,-132.543624,349.173990,0.116694,0.993168,0.000000,-0.000001
664.948181,-132.559885,349.140036,0.116695,0.993168,-0.000001,0.000000
664.948181,-132.559885,349.140036,0.116695,0.993168,-0.000001,0.000000
664.198283,-132.575563,349.102875,0.116694,0.993168,0.000000,-0.000001
664.198283,-132.575563,349.102875,0.116694,0.993168,0.000000,-0.000001
663.451846,-132.591034,349.140958,0.116695,0.993168,-0.000001,0.000001
663.451846,-132.591034,349.140958,0.116695,0.993168,-0.000001,0.000001
662.700805,-132.605911,349.175933,0.116694,0.993168,0.000000,-0.000000
662.700805,-132.605911,349.175933,0.116694,0.993168,0.000000,-0.000000
661.950223,-132.622161,349.220017,0.116695,0.993168,-0.000001,0.000001
661.950223,-132.622161,349.220017,0.116695,0.993168,-0.000001,0.000001
661.195118,-132.637807,349.260983,0.116694,0.993168,0.000000,-0.000000
661.195118,-132.637807,349.260983,0.116694,0.993168,0.000000,-0.000000
660.441629,-132.654403,349.290458,0.116695,0.993168,-0.000001,0.000001
660.441629,-132.654403,349.290458,0.116695,0.993168,-0.000001,0.000001
659.683606,-132.670392,349.316808,0.116694,0.993168,0.000000,-0.000000
659.683606,-132.670392,349.316808,0.116694,0.993168,0.000000,-0.000000
658.928013,-132.687560,349.354025,0.116695,0.993168,-0.000001,0.000001
658.928013,-132.687560,349.354025,0.116695,0.993168,-0.000001,0.000001
658.168027,-132.704115,349.388135,0.116694,0.993168,0.000000,-0.000000
658.168027,-132.704115,349.388135,0.116694,0.993168,0.000000,-0.000000
657.410690,-132.721795,349.422733,0.116695,0.993168,-0.000001,0.000001
657.410690,-132.721795,349.422733,0.116695,0.993168,-0.000001,0.000001
656.649205,-132.738853,349.454222,0.116694,0.993168,-0.000000,-0.000000
656.649205,-132.738853,349.454222,0.116694,0.993168,-0.000000,-0.000000
655.889485,-132.756934,349.481336,0.116695,0.993168,-0.000001,0.000001
655.889485,-132.756934,349.481336,0.116695,0.993168,-0.000001,0.000001
655.125829,-132.774385,349.505323,0.116694,0.993168,-0.000000,-0.000000
655.125829,-132.774385,349.505323,0.116694,0.993168,-0.000000,-0.000000
654.364439,-132.792663,349.518275,0.116695,0.993168,-0.000001,0.000001
654.364439,-132.792663,349.518275,0.116695,0.993168,-0.000001,0.000001
653.598653,-132.810318,349.528111,0.116694,0.993168,-0.000000,-0.000000
653.598653,-132.810318,349.528111,0.116694,0.993168,-0.000000,-0.000000
652.835808,-132.828350,349.541106,0.116695,0.993168,-0.000001,0.000001
652.835808,-132.828350,349.541106,0.116695,0.993168,-0.000001,0.000001
652.068630,-132.845758,349.550980,0.116694,0.993168,-0.000000,0.000000
652.068630,-132.845758,349.550980,0.116694,0.993168,-0.000000,0.000000
651.304676,-132.863550,349.544966,0.116695,0.993168,-0.000001,0.000001
651.304676,-132.863550,349.544966,0.116695,0.993168,-0.000001,0.000001
650.536636,-132.880711,349.535860,0.116694,0.993168,-0.000000,0.000000
650.536636,-132.880711,349.535860,0.116694,0.993168,-0.000000,0.000000
649.770433,-132.898668,349.555462,0.116696,0.993168,-0.000002,0.000001
649.770433,-132.898668,349.555462,0.116696,0.993168,-0.000002,0.000001
649.000056,-132.915996,349.571980,0.116695,0.993168,-0.000001,-0.000000
649.000056,-132.915996,349.571980,0.116695,0.993168,-0.000001,-0.000000
648.235609,-132.933365,349.571080,0.116696,0.993168,-0.000002,0.000001
648.235609,-132.933365,349.571080,0.116696,0.993168,-0.000002,0.000001
647.467229,-132.950100,349.567140,0.116694,0.993168,-0.000000,0.000000
647.467229,-132.950100,349.567140,0.116694,0.993168,-0.000000,0.000000
646.699421,-132.966935,349.614337,0.116695,0.993168,-0.000001,0.000001
646.699421,-132.966935,349.614337,0.116695,0.993168,-0.000001,0.000001
645.928589,-132.983126,349.658459,0.116694,0.993168,-0.000000,-0.000000
645.928589,-132.983126,349.658459,0.116694,0.993168,-0.000000,-0.000000
645.161391,-133.002025,349.648606,0.116695,0.993168,-0.000001,0.000001
645.161391,-133.002025,349.648606,0.116695,0.993168,-0.000001,0.000001
644.390353,-133.020284,349.635693,0.116694,0.993168,0.000000,-0.000000
644.390353,-133.020284,349.635693,0.116694,0.993168,0.000000,-0.000000
643.622439,-133.039076,349.621899,0.116695,0.993168,-0.000001,0.000001
643.622439,-133.039076,349.621899,0.116695,0.993168,-0.000001,0.000001
642.850920,-133.057222,349.605021,0.116694,0.993168,0.000000,-0.000000
642.850920,-133.057222,349.605021,0.116694,0.993168,0.000000,-0.000000
642.086037,-133.076421,349.541999,0.116695,0.993168,-0.000001,0.000001
642.086037,-133.076421,349.541999,0.116695,0.993168,-0.000001,0.000001
641.317428,-133.094972,349.476060,0.116694,0.993168,0.000000,-0.000000
641.317428,-133.094972,349.476060,0.116694,0.993168,0.000000,-0.000000
640.544754,-133.112666,349.540812,0.116695,0.993168,-0.000001,0.000001
640.544754,-133.112666,349.540812,0.116695,0.993168,-0.000001,0.000001
639.768902,-133.129723,349.602504,0.116694,0.993168,0.000000,-0.000000
639.768902,-133.129723,349.602504,0.116694,0.993168,0.000000,-0.000000
639.003556,-133.148812,349.540703,0.116695,0.993168,-0.000001,0.000001
639.003556,-133.148812,349.540703,0.116695,0.993168,-0.000001,0.000001
638.234580,-133.167254,349.475888,0.116694,0.993168,0.000000,-0.000000
638.234580,-133.167254,349.475888,0.116694,0.993168,0.000000,-0.000000
637.470032,-133.185782,349.410142,0.116695,0.993168,-0.000001,0.000001
637.470032,-133.185782,349.410142,0.116695,0.993168,-0.000001,0.000001
636.701448,-133.203676,349.341419,0.116694,0.993168,0.000000,-0.000000
636.701448,-133.203676,349.341419,0.116694,0.993168,0.000000,-0.000000
635.933418,-133.222481,349.326377,0.116695,0.993168,-0.000001,0.000001
635.933418,-133.222481,349.326377,0.116695,0.993168,-0.000001,0.000001
635.162177,-133.240640,349.308356,0.116694,0.993168,0.000000,-0.000001
635.162177,-133.240640,349.308356,0.116694,0.993168,0.000000,-0.000001
634.396562,-133.259384,349.254040,0.116695,0.993168,-0.000001,0.000000
634.396562,-133.259384,349.254040,0.116695,0.993168,-0.000001,0.000000
633.627387,-133.277486,349.196822,0.116694,0.993168,0.000000,-0.000001
633.627387,-133.277486,349.196822,0.116694,0.993168,0.000000,-0.000001
632.858177,-133.296494,349.193860,0.116694,0.993168,-0.000001,0.000000
632.858177,-133.296494,349.193860,0.116694,0.993168,-0.000001,0.000000
632.086111,-133.314853,349.187976,0.116693,0.993168,0.000000,-0.000001
632.086111,-133.314853,349.187976,0.116693,0.993168,0.000000,-0.000001
631.318826,-133.333760,349.153571,0.116694,0.993168,-0.000001,-0.000000
631.318826,-133.333760,349.153571,0.116694,0.993168,-0.000001,-0.000000
630.548201,-133.352024,349.116268,0.116693,0.993168,0.000000,-0.000001
630.548201,-133.352024,349.116268,0.116693,0.993168,0.000000,-0.000001
629.779519,-133.370405,349.091867,0.116693,0.993168,-0.000001,-0.000001
629.779519,-133.370405,349.091867,0.116693,0.993168,-0.000001,-0.000001
629.007818,-133.388138,349.064545,0.116693,0.993168,0.000001,-0.000002
629.007818,-133.388138,349.064545,0.116693,0.993168,0.000001,-0.000002
628.241651,-133.405847,348.996467,0.116693,0.993168,-0.000000,-0.000001
628.241651,-133.405847,348.996467,0.116693,0.993168,-0.000000,-0.000001
627.471942,-133.422912,348.925519,0.116692,0.993168,0.000001,-0.000003
627.471942,-133.422912,348.925519,0.116692,0.993168,0.000001,-0.000003
626.702858,-133.440516,348.911906,0.116692,0.993168,-0.000000,-0.000002
626.702858,-133.440516,348.911906,0.116692,0.993168,-0.000000,-0.000002
625.931115,-133.457476,348.895429,0.116691,0.993168,0.000001,-0.000003
625.931115,-133.457476,348.895429,0.116691,0.993168,0.000001,-0.000003
625.168844,-133.476573,348.850606,0.116693,0.993168,-0.000000,-0.000001
625.168844,-133.476573,348.850606,0.116693,0.993168,-0.000000,-0.000001
624.401635,-133.495026,348.802803,0.116695,0.993168,-0.000000,0.000000
624.401635,-133.495026,348.802803,0.116695,0.993168,-0.000000,0.000000
621.616692,-133.497764,348.568813,0.116704,0.993167,-0.000012,0.000014
