x,y,z,qx,qy,qz,qw
643.059989,-120.801436,350.096554,0.116771,0.993159,-0.0,1e-06
643.007872,-118.077213,349.788062,0.11677,0.993159,0.0,-0.0
643.007872,-118.077213,349.788062,0.11677,0.993159,0.0,-0.0
646.14858,-115.576869,348.145087,0.116774,0.993159,-1.7e-05,8e-06
646.14858,-115.576869,348.145087,0.116774,0.993159,-1.7e-05,8e-06
649.251423,-113.050177,346.472475,0.11677,0.993159,0.0,-0.0
649.251423,-113.050177,346.472475,0.11677,0.993159,0.0,-0.0
648.026309,-110.745159,347.175303,0.116772,0.993159,-6e-06,3e-06
648.026309,-110.745159,347.175303,0.116772,0.993159,-6e-06,3e-06
646.78578,-108.448716,347.864794,0.11677,0.993159,1e-06,-1e-06
646.78578,-108.448716,347.864794,0.11677,0.993159,1e-06,-1e-06
647.736939,-105.762862,347.475124,0.11677,0.993159,0.0,-1e-06
647.736939,-105.762862,347.475124,0.11677,0.993159,0.0,-1e-06
648.674579,-103.069433,347.083133,0.11677,0.993159,1e-06,-1e-06
648.674579,-103.069433,347.083133,0.11677,0.993159,1e-06,-1e-06
647.244622,-99.863996,345.464611,0.116777,0.993158,3e-06,1.1e-05
647.244622,-99.863996,345.464611,0.116777,0.993158,3e-06,1.1e-05
645.749708,-96.674328,343.824216,0.116771,0.993159,-0.0,0.0
645.749708,-96.674328,343.824216,0.116771,0.993159,-0.0,0.0
644.627174,-91.780893,343.320064,0.116775,0.993158,-4e-06,7e-06
644.627174,-91.780893,343.320064,0.116775,0.993158,-4e-06,7e-06
643.444927,-86.910807,342.798342,0.116771,0.993159,-0.0,-0.0
643.444927,-86.910807,342.798342,0.116771,0.993159,-0.0,-0.0
644.518128,-83.913408,341.3501,0.11677,0.993159,-0.0,0.0
644.518128,-83.913408,341.3501,0.11677,0.993159,-0.0,0.0
645.573628,-80.909426,339.900589,0.116771,0.993159,0.0,-0.0
645.573628,-80.909426,339.900589,0.116771,0.993159,0.0,-0.0
646.114777,-78.620671,338.905794,0.11677,0.993159,0.0,-0.0
646.114777,-78.620671,338.905794,0.11677,0.993159,0.0,-0.0
646.644626,-76.328721,337.911221,0.116771,0.993159,-0.0,0.0
646.644626,-76.328721,337.911221,0.116771,0.993159,-0.0,0.0
645.430712,-72.792018,337.421442,0.116774,0.993159,-3e-06,6e-06
645.430712,-72.792018,337.421442,0.116774,0.993159,-3e-06,6e-06
644.183527,-69.271367,336.91843,0.116771,0.993159,-0.0,0.0
644.183527,-69.271367,336.91843,0.116771,0.993159,-0.0,0.0
648.936711,-66.878757,336.01798,0.116789,0.993157,-3.8e-05,3.4e-05
648.936711,-66.878757,336.01798,0.116789,0.993157,-3.8e-05,3.4e-05
653.58209,-64.445858,335.02251,0.116771,0.993159,-0.0,0.0
653.58209,-64.445858,335.02251,0.116771,0.993159,-0.0,0.0
650.084175,-61.83963,334.419905,0.116788,0.993157,-1.7e-05,3e-05
650.084175,-61.83963,334.419905,0.116788,0.993157,-1.7e-05,3e-05
646.486,-59.262146,333.746532,0.116771,0.993159,-0.0,0.0
646.486,-59.262146,333.746532,0.116771,0.993159,-0.0,0.0
645.167499,-57.167997,333.714108,0.116773,0.993159,-3e-06,4e-06
645.167499,-57.167997,333.714108,0.116773,0.993159,-3e-06,4e-06
643.831004,-55.080049,333.670376,0.116771,0.993159,0.0,-0.0
643.831004,-55.080049,333.670376,0.116771,0.993159,0.0,-0.0
643.839335,-50.267426,332.884128,0.116771,0.993159,1e-06,0.0
643.839335,-50.267426,332.884128,0.116771,0.993159,1e-06,0.0
643.806934,-45.458476,332.09819,0.116771,0.993159,-0.0,-0.0
643.806934,-45.458476,332.09819,0.116771,0.993159,-0.0,-0.0
642.56324,-40.338399,332.195461,0.116772,0.993159,-4e-06,4e-06
642.56324,-40.338399,332.195461,0.116772,0.993159,-4e-06,4e-06
641.269925,-35.244523,332.280982,0.11677,0.993159,-0.0,-0.0
641.269925,-35.244523,332.280982,0.11677,0.993159,-0.0,-0.0
642.198049,-32.778253,331.626993,0.116771,0.993159,-1e-06,1e-06
642.198049,-32.778253,331.626993,0.116771,0.993159,-1e-06,1e-06
643.113357,-30.305634,330.970858,0.11677,0.993159,-0.0,-0.0
643.113357,-30.305634,330.970858,0.11677,0.993159,-0.0,-0.0
642.542818,-27.909824,331.092756,0.116771,0.993159,-1e-06,1e-06
642.542818,-27.909824,331.092756,0.116771,0.993159,-1e-06,1e-06
641.961998,-25.515325,331.211839,0.11677,0.993159,-0.0,-0.0
641.961998,-25.515325,331.211839,0.11677,0.993159,-0.0,-0.0
642.195112,-19.403543,330.153394,0.11677,0.993159,1e-06,-0.0
642.195112,-19.403543,330.153394,0.11677,0.993159,1e-06,-0.0
642.365612,-13.294284,329.09672,0.11677,0.993159,-0.0,-0.0
642.365612,-13.294284,329.09672,0.11677,0.993159,-0.0,-0.0
640.977492,-10.492187,329.326127,0.116772,0.993159,-4e-06,3e-06
640.977492,-10.492187,329.326127,0.116772,0.993159,-4e-06,3e-06
639.571369,-7.700251,329.545555,0.11677,0.993159,-0.0,-0.0
639.571369,-7.700251,329.545555,0.11677,0.993159,-0.0,-0.0
640.7409,-2.362802,328.968556,0.116771,0.993159,-2e-06,2e-06
640.7409,-2.362802,328.968556,0.116771,0.993159,-2e-06,2e-06
641.862048,2.993351,328.385321,0.11677,0.993159,-0.0,-1e-06
641.862048,2.993351,328.385321,0.11677,0.993159,-0.0,-1e-06
643.326017,8.79058,327.788059,0.11681,0.993154,1.7e-05,-1e-06
643.326017,8.79058,327.788059,0.11681,0.993154,1.7e-05,-1e-06
644.729553,14.646917,327.180705,0.116771,0.993159,0.0,-0.0
644.729553,14.646917,327.180705,0.116771,0.993159,0.0,-0.0
643.255393,21.338162,329.368072,0.116909,0.993143,1.8e-05,-0.000154
643.255393,21.338162,329.368072,0.116909,0.993143,1.8e-05,-0.000154
641.805997,28.229988,331.761232,0.11677,0.993159,1e-06,1e-06
641.805997,28.229988,331.761232,0.11677,0.993159,1e-06,1e-06
644.430679,31.679443,331.956845,0.117024,0.993129,0.000108,1.9e-05
644.430679,31.679443,331.956845,0.117024,0.993129,0.000108,1.9e-05
646.974698,35.379676,332.066404,0.116771,0.993159,0.0,-0.0
646.974698,35.379676,332.066404,0.116771,0.993159,0.0,-0.0
646.100237,37.921757,333.19849,0.116791,0.993157,1e-06,-2.3e-05
646.100237,37.921757,333.19849,0.116791,0.993157,1e-06,-2.3e-05
645.230416,40.493792,334.358492,0.11677,0.993159,-0.0,0.0
645.230416,40.493792,334.358492,0.11677,0.993159,-0.0,0.0
647.608095,40.999131,333.94184,0.116844,0.99315,3.1e-05,4e-05
647.608095,40.999131,333.94184,0.116844,0.99315,3.1e-05,4e-05
649.931136,41.555683,333.445003,0.116769,0.993159,-0.0,0.0
649.931136,41.555683,333.445003,0.116769,0.993159,-0.0,0.0
648.054724,43.481263,333.512111,0.116771,0.993159,-4e-06,7e-06
648.054724,43.481263,333.512111,0.116771,0.993159,-4e-06,7e-06
646.157182,45.394393,333.568535,0.116769,0.993159,-0.0,0.0
646.157182,45.394393,333.568535,0.116769,0.993159,-0.0,0.0
645.282045,48.60759,336.355899,0.116864,0.993148,2.9e-05,-2.6e-05
645.282045,48.60759,336.355899,0.116864,0.993148,2.9e-05,-2.6e-05
644.384869,51.951697,339.164292,0.116767,0.993159,-1e-06,1e-06
644.384869,51.951697,339.164292,0.116767,0.993159,-1e-06,1e-06
646.316227,54.14222,338.331871,0.116904,0.993143,5.8e-05,1.9e-05
646.316227,54.14222,338.331871,0.116904,0.993143,5.8e-05,1.9e-05
648.202795,56.448312,337.438999,0.116771,0.993159,0.0,0.0
648.202795,56.448312,337.438999,0.116771,0.993159,0.0,0.0
648.80076,59.757291,339.945292,0.117088,0.993121,0.000142,3.2e-05
648.80076,59.757291,339.945292,0.117088,0.993121,0.000142,3.2e-05
649.284449,63.406128,342.348102,0.11677,0.993159,-0.0,-0.0
649.284449,63.406128,342.348102,0.11677,0.993159,-0.0,-0.0
648.282615,65.357946,341.891914,0.11677,0.993159,-2e-06,-8e-06
648.282615,65.357946,341.891914,0.11677,0.993159,-2e-06,-8e-06
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
647.276223,67.303468,341.447194,0.11677,0.993159,-0.0,0.0
